Kennziffer;Raumeinheit;Aggregat;Beschäftigte Tertiärer Sektor;Bandbreitenverfügbarkeit mindestens 50 Mbit/s
"01001";"Flensburg, Stadt";"Kreise";"84,46";"99,23"
"01002";"Kiel, Landeshauptstadt";"Kreise";"84,29";"99,16"
"01003";"Lübeck, Hansestadt";"Kreise";"76,23";"98,67"
"01004";"Neumünster, Stadt";"Kreise";"79,16";"98,84"
"01051";"Dithmarschen";"Kreise";"69,66";"86,35"
"01053";"Herzogtum Lauenburg";"Kreise";"71,84";"98,02"
"01054";"Nordfriesland";"Kreise";"79,42";"87,37"
"01055";"Ostholstein";"Kreise";"78,23";"87,92"
"01056";"Pinneberg";"Kreise";"69,12";"96,01"
"01057";"Plön";"Kreise";"73,88";"90,56"
"01058";"Rendsburg-Eckernförde";"Kreise";"73,86";"85,10"
"01059";"Schleswig-Flensburg";"Kreise";"74,00";"75,26"
"01060";"Segeberg";"Kreise";"71,55";"95,91"
"01061";"Steinburg";"Kreise";"68,86";"95,03"
"01062";"Stormarn";"Kreise";"69,79";"98,65"
"02000";"Hamburg, Freie und Hansestadt";"Kreise";"84,35";"98,66"
"03101";"Braunschweig, Stadt";"Kreise";"79,10";"98,61"
"03102";"Salzgitter, Stadt";"Kreise";"44,20";"98,74"
"03103";"Wolfsburg, Stadt";"Kreise";"37,63";"98,44"
"03151";"Gifhorn";"Kreise";"74,29";"85,81"
"03153";"Goslar";"Kreise";"73,55";"98,38"
"03154";"Helmstedt";"Kreise";"74,24";"94,20"
"03155";"Northeim";"Kreise";"59,22";"97,24"
"03157";"Peine";"Kreise";"68,19";"98,44"
"03158";"Wolfenbüttel";"Kreise";"75,71";"97,54"
"03159";"Göttingen";"Kreise";"76,80";"97,53"
"03241";"Region Hannover";"Kreise";"80,12";"98,29"
"03251";"Diepholz";"Kreise";"67,50";"82,07"
"03252";"Hameln-Pyrmont";"Kreise";"70,35";"90,00"
"03254";"Hildesheim";"Kreise";"69,56";"97,33"
"03255";"Holzminden";"Kreise";"54,18";"96,81"
"03256";"Nienburg (Weser)";"Kreise";"64,15";"84,37"
"03257";"Schaumburg";"Kreise";"70,93";"98,80"
"03351";"Celle";"Kreise";"69,37";"93,84"
"03352";"Cuxhaven";"Kreise";"69,66";"90,79"
"03353";"Harburg";"Kreise";"77,28";"93,84"
"03354";"Lüchow-Dannenberg";"Kreise";"66,48";"82,89"
"03355";"Lüneburg";"Kreise";"75,38";"97,00"
"03356";"Osterholz";"Kreise";"73,43";"94,94"
"03357";"Rotenburg (Wümme)";"Kreise";"71,17";"93,48"
"03358";"Heidekreis";"Kreise";"74,22";"87,61"
"03359";"Stade";"Kreise";"68,89";"95,88"
"03360";"Uelzen";"Kreise";"73,66";"75,96"
"03361";"Verden";"Kreise";"68,39";"80,02"
"03401";"Delmenhorst, Stadt";"Kreise";"74,90";"98,63"
"03402";"Emden, Stadt";"Kreise";"57,57";"97,84"
"03403";"Oldenburg (Oldenburg), Stadt";"Kreise";"87,88";"99,19"
"03404";"Osnabrück, Stadt";"Kreise";"81,59";"99,25"
"03405";"Wilhelmshaven, Stadt";"Kreise";"77,94";"98,70"
"03451";"Ammerland";"Kreise";"64,15";"89,01"
"03452";"Aurich";"Kreise";"74,92";"81,33"
"03453";"Cloppenburg";"Kreise";"50,47";"86,95"
"03454";"Emsland";"Kreise";"56,91";"96,21"
"03455";"Friesland";"Kreise";"73,36";"89,31"
"03456";"Grafschaft Bentheim";"Kreise";"62,62";"88,47"
"03457";"Leer";"Kreise";"75,24";"92,84"
"03458";"Oldenburg";"Kreise";"60,50";"89,55"
"03459";"Osnabrück";"Kreise";"59,37";"89,25"
"03460";"Vechta";"Kreise";"54,19";"86,11"
"03461";"Wesermarsch";"Kreise";"53,16";"90,29"
"03462";"Wittmund";"Kreise";"75,42";"85,71"
"04011";"Bremen, Stadt";"Kreise";"77,68";"98,55"
"04012";"Bremerhaven, Stadt";"Kreise";"80,09";"99,21"
"05111";"Düsseldorf, Stadt";"Kreise";"88,24";"99,29"
"05112";"Duisburg, Stadt";"Kreise";"74,26";"97,43"
"05113";"Essen, Stadt";"Kreise";"84,96";"98,21"
"05114";"Krefeld, Stadt";"Kreise";"71,91";"98,14"
"05116";"Mönchengladbach, Stadt";"Kreise";"78,60";"98,42"
"05117";"Mülheim an der Ruhr, Stadt";"Kreise";"73,19";"98,58"
